branch_id,plant_id,orientation,farmer,plot_type,fert_trt,shd_trt,jun_frt,dec_dieback,binom_dieback
1158,26,S,Fernando,lshd,l,shd,,na,NA
1159,26,E,Fernando,lshd,l,shd,,na,NA
1160,26,W,Fernando,lshd,l,shd,,na,NA
1161,27,N,Fernando,lshd,l,shd,131,n,0
1162,27,S,Fernando,lshd,l,shd,131,n,0
1163,27,E,Fernando,lshd,l,shd,106,n,0
1164,27,W,Fernando,lshd,l,shd,50,n,0
1165,28,N,Fernando,lshd,l,shd,71,n,0
1166,28,S,Fernando,lshd,l,shd,82,n,0
1167,28,E,Fernando,lshd,l,shd,104,n,0
1168,28,W,Fernando,lshd,l,shd,70,y,1
1169,29,N,Fernando,lshd,l,shd,181,n,0
1170,29,S,Fernando,lshd,l,shd,190,n,0
1171,29,E,Fernando,lshd,l,shd,185,n,0
1172,29,W,Fernando,lshd,l,shd,170,n,0
1173,30,N,Fernando,lshd,l,shd,30,n,0
1174,30,S,Fernando,lshd,l,shd,53,n,0
1175,30,E,Fernando,lshd,l,shd,53,n,0
1176,30,W,Fernando,lshd,l,shd,48,n,0
1177,31,N,Fernando,lshd,l,shd,,na,NA
1178,31,S,Fernando,lshd,l,shd,,na,NA
1179,31,E,Fernando,lshd,l,shd,,na,NA
1180,31,W,Fernando,lshd,l,shd,,na,NA
1181,32,N,Fernando,lshd,l,shd,30,y,1
1182,32,S,Fernando,lshd,l,shd,68,n,0
1183,32,E,Fernando,lshd,l,shd,74,y,1
1184,32,W,Fernando,lshd,l,shd,76,n,0
1185,33,N,Fernando,lshd,l,shd,159,n,0
1186,33,S,Fernando,lshd,l,shd,142,n,0
1187,33,E,Fernando,lshd,l,shd,199,n,0
1188,33,W,Fernando,lshd,l,shd,148,n,0
1189,34,N,Fernando,lshd,l,shd,84,n,0
1190,34,S,Fernando,lshd,l,shd,44,n,0
1191,34,E,Fernando,lshd,l,shd,65,n,0
1192,34,W,Fernando,lshd,l,shd,70,n,0
1193,35,N,Fernando,lshd,l,shd,172,n,0
1194,35,S,Fernando,lshd,l,shd,112,n,0
1195,35,E,Fernando,lshd,l,shd,146,n,0
1196,35,W,Fernando,lshd,l,shd,124,n,0
1197,36,N,Fernando,lshd,l,shd,112,n,0
1198,36,S,Fernando,lshd,l,shd,143,y,1
1199,36,E,Fernando,lshd,l,shd,135,n,0
1200,36,W,Fernando,lshd,l,shd,135,n,0
1201,37,N,Fernando,lshd,l,shd,116,n,0
1202,37,S,Fernando,lshd,l,shd,81,n,0
1203,37,E,Fernando,lshd,l,shd,65,n,0
1204,37,W,Fernando,lshd,l,shd,64,n,0
1205,38,N,Fernando,lshd,l,shd,168,n,0
1206,38,S,Fernando,lshd,l,shd,142,n,0
1207,38,E,Fernando,lshd,l,shd,117,n,0
1208,38,W,Fernando,lshd,l,shd,139,n,0
1209,39,N,Fernando,lshd,l,shd,,na,NA
1210,39,S,Fernando,lshd,l,shd,,na,NA
1211,39,E,Fernando,lshd,l,shd,,na,NA
1212,39,W,Fernando,lshd,l,shd,,na,NA
1213,40,N,Fernando,lshd,l,shd,,na,NA
1214,40,S,Fernando,lshd,l,shd,,na,NA
1215,40,E,Fernando,lshd,l,shd,,na,NA
1216,40,W,Fernando,lshd,l,shd,,na,NA
1217,41,N,Fernando,lshd,l,shd,121,y,1
1218,41,S,Fernando,lshd,l,shd,93,n,0
1219,41,E,Fernando,lshd,l,shd,89,n,0
1220,41,W,Fernando,lshd,l,shd,89,n,0
1221,42,N,Fernando,lshd,l,shd,34,n,0
1222,42,S,Fernando,lshd,l,shd,41,y,1
