indID,ID,treatment,date,trackID,sex,starttime,interval,gps.num,index,waypt,flag,latitude,longitude,behavior,nect.plant,habitat,Chel_Plan,release.area,recorder,tracker,temp,cloudcover,Notes,Notes2,track_num,track_flag,time,eastings,northings,Edisp,Ndisp,step,angle,turnangle,angleradians,cosangle,virgin_mated,IsDate,inithost,finhost,doy,firstmarked,doy_1stMark,app.age,age.dev,doy.dev
R-RSB,2013-6-24-33-8,T_P,24-Jun,24-Jun_R-RSclear,Female,11:29am,15,1,293,561,4,42.484783,-71.568832,p,aster,up,Plantago,dorm 30,Emma,Lee,88,sunny,virgin,recorded as R-Rsclear but changed here to R-RSB,4,4_4,1020,288871.5149,4706801.127,-0.006729844,-0.222096457,NA,-178.2643859,NA,NA,NA,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,1,567,1,42.484788,-71.56884,p,cup,up,Plantago,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_1,495,288870.8742,4706801.702,NA,NA,13.83907894,NA,NA,NA,NA,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,34,568,2,42.484819,-71.569003,f,n/a,up,Plantago,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_2,15,288857.581,4706805.551,-13.29320711,3.848473788,7.44808002,-73.8539108,12.17272856,0.212454192,0.977516369,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,35,570,3,42.484849,-71.569084,p,aster,up,Plantago,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_3,1065,288851.0243,4706809.084,-6.556705722,3.53320054,1.466864557,-61.68118223,-8.947732755,-0.156167397,0.987830635,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,106,569,4,42.484853,-71.569101,p,aster,up,Plantago,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_4,30,288849.6404,4706809.57,-1.383825599,0.48653709,9.492108376,-70.62891499,10.28065026,0.179431196,0.983945366,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,108,571,5,42.484893,-71.569203,f,n/a,up,none,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_5,15,288841.3913,4706814.266,-8.24910321,4.696000176,4.1661618,-60.34826473,-9.25265192,-0.161489241,0.986988926,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-SGS,2013-6-24-30-15,T_P,24-Jun,24-Jun_R-SGS,Female,2:35pm,15,1,109,572,6,42.484905,-71.569251,p,gallium,up,none,dorm 30,Elizabeth/Lee,Natasha/Emma,88,sunny,virgin,,5,5_6,3780,288837.4865,4706815.718,-3.904891653,1.452145075,NA,-69.60091665,NA,NA,NA,virgin,6/24/13,T,P,1,6/24/13,1,0,-1.266106443,-10.89495798
R-LLG,2013-6-25-4-20,P_T,25-Jun,25-Jun_R-LLG,Female,11:28am,15,3,1,449,1,42.485562,-71.568547,p,cup,wet,Chelone,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_1,210,288897.561,4706886.924,NA,NA,0.52927506,NA,NA,NA,NA,virgin,6/25/13,P,T,2,6/25/13,2,0,-1.266106443,-9.894957983
R-LLG,2013-6-25-4-20,P_T,25-Jun,25-Jun_R-LLG,Female,11:28am,15,3,15,450,2,42.485559,-71.568542,p,grass,wet,Chelone,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_2,1125,288897.9619,4706886.578,0.400868212,-0.345596246,0.08223012,130.7652615,-39.02981773,-0.681198826,0.776818347,virgin,6/25/13,P,T,2,6/25/13,2,0,-1.266106443,-9.894957983
R-LLG,2013-6-25-4-20,P_T,25-Jun,25-Jun_R-LLG,Female,11:28am,15,3,90,451,3,42.485559,-71.568541,p,small shrub,wet,Chelone,dorm 4,Emma,Lee,80,sunny,"virgin; shrub with serrated, round leaves",,6,6_3,990,288898.0441,4706886.576,0.082192402,-0.002490304,0.777694382,91.73544381,-90.00000077,-1.57079634,-1.35E-08,virgin,6/25/13,P,T,2,6/25/13,2,0,-1.266106443,-9.894957983
R-LLG,2013-6-25-4-20,P_T,25-Jun,25-Jun_R-LLG,Female,11:28am,15,3,156,462,4,42.485566,-71.568541,p,aster,wet,Chelone,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_4,2805,288898.0676,4706887.353,0.023552135,0.777337668,3.163584157,1.735443039,-169.5166952,-2.958624468,-0.983307967,virgin,6/25/13,P,T,2,6/25/13,2,0,-1.266106443,-9.894957983
R-LLG,2013-6-25-4-20,P_T,25-Jun,25-Jun_R-LLG,Female,11:28am,15,3,343,454,5,42.485538,-71.568548,p,Swida,wet,none,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_5,30,288897.3981,4706884.261,-0.669555527,-3.091918517,0.198469694,-167.7812521,113.557226,1.981947482,-0.399664812,virgin,6/25/13,P,T,2,6/25/13,2,0,-1.266106443,-9.894957983
R-LLG,2013-6-25-4-20,P_T,25-Jun,25-Jun_R-LLG,Female,11:28am,15,3,345,455,6,42.485539,-71.56855,p,aster,wet,none,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_6,15,288897.2371,4706884.377,-0.161020257,0.116028859,0.671647926,-54.22402617,228.9270832,3.995531348,-0.65701897,virgin,6/25/13,P,T,2,6/25/13,2,0,-1.266106443,-9.894957983
R-LLG,2013-6-25-4-20,P_T,25-Jun,25-Jun_R-LLG,Female,11:28am,15,3,346,456,7,42.485533,-71.568549,p,aster,wet,none,dorm 4,Emma,Lee,80,sunny,virgin,,6,6_7,225,288897.2991,4706883.708,0.062004831,-0.668779737,NA,174.703057,NA,NA,NA,virgin,6/25/13,P,T,2,6/25/13,2,0,-1.266106443,-9.894957983
L-LBB,2013-6-26-10-46,T_T,26-Jun,26-Jun_L-LBB,Female,1:52pm,15,1,1,582,1,42.485642,-71.568607,p,cup,wet,Chelone,dorm 10,Nat,Emma,74,cloudy,virgin,,10,10_1,15,288892.8987,4706895.957,NA,NA,0.892589415,NA,NA,NA,NA,virgin,6/26/13,T,T,3,6/26/13,3,0,-1.266106443,-8.894957983
L-LBB,2013-6-26-10-46,T_T,26-Jun,26-Jun_L-LBB,Female,1:52pm,15,1,2,583,2,42.485634,-71.568608,p,grass,wet,Chelone,dorm 10,Nat,Emma,74,cloudy,virgin,,10,10_2,15,288892.7896,4706895.071,-0.10910976,-0.885895549,0.575610161,-172.9786269,264.7141152,4.620132887,-0.092125281,virgin,6/26/13,T,T,3,6/26/13,3,0,-1.266106443,-8.894957983
L-LBB,2013-6-26-10-46,T_T,26-Jun,26-Jun_L-LBB,Female,1:52pm,15,1,3,584,3,42.485634,-71.568601,p,herb (4 leaves opp),wet,Chelone,dorm 10,Nat,Emma,74,cloudy,virgin,,10,10_3,4785,288893.3649,4706895.054,0.575346124,-0.017432557,2.672847803,91.73548833,-135.0394626,-2.356883243,-0.707593635,virgin,6/26/13,T,T,3,6/26/13,3,0,-1.266106443,-8.894957983
L-LBB,2013-6-26-10-46,T_T,26-Jun,26-Jun_L-LBB,Female,1:52pm,15,1,322,585,4,42.485651,-71.568624,p,grass,wet,Chelone,dorm 10,Nat,Emma,74,cloudy,virgin,,10,10_4,585,288891.5317,4706896.999,-1.833223003,1.945098661,NA,-43.30397429,NA,NA,NA,virgin,6/26/13,T,T,3,6/26/13,3,0,-1.266106443,-8.894957983
R-SGB,2013-6-29-41-58,P_P,29-Jun,29-Jun_R-SGB,Female,12:34pm,15,1,1,670,1,42.484801,-71.569077,p,cup, upland,Plantago,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_1,150,288851.4381,4706803.736,NA,NA,4.011725142,NA,NA,NA,NA,virgin,6/29/13,P,P,6,6/29/13,6,0,-1.266106443,-5.894957983
R-SGB,2013-6-29-41-58,P_P,29-Jun,29-Jun_R-SGB,Female,12:34pm,15,1,11,669,2,42.484836,-71.569065,p/e,cup,upland,Plantago,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_2,15,288852.5422,4706807.593,1.104103843,3.856798325,9.271454709,15.97507835,23.49345707,0.410038179,0.917105604,virgin,6/29/13,P,P,6,6/29/13,6,0,-1.266106443,-5.894957983
R-SGB,2013-6-29-41-58,P_P,29-Jun,29-Jun_R-SGB,Female,12:34pm,15,1,12,668,3,42.484902,-71.568996,f,na,upland,Plantago,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_3,105,288858.4356,4706814.75,5.893440782,7.157319902,4.560976288,39.46853542,-91.95752347,-1.604961556,-0.034158583,virgin,6/29/13,P,P,6,6/29/13,6,0,-1.266106443,-5.894957983
R-SGB,2013-6-29-41-58,P_P,29-Jun,29-Jun_R-SGB,Female,12:34pm,15,1,19,667,4,42.484926,-71.569041,f,na,upland,Plantago,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_4,15,288854.8177,4706817.527,-3.617932068,2.777241842,11.48637542,-52.48898805,-7.484804356,-0.13063448,0.991479444,virgin,6/29/13,P,P,6,6/29/13,6,0,-1.266106443,-5.894957983
R-SGB,2013-6-29-41-58,P_P,29-Jun,29-Jun_R-SGB,Female,12:34pm,15,1,20,665,5,42.484975,-71.569164,f,na,upland,none,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_5,15,288844.8728,4706823.275,-9.944864884,5.74773718,1.735898888,-59.9737924,-46.95357504,-0.81949448,0.682590729,virgin,6/29/13,P,P,6,6/29/13,6,0,-1.266106443,-5.894957983
R-SGB,2013-6-29-41-58,P_P,29-Jun,29-Jun_R-SGB,Female,12:34pm,15,1,21,666,6,42.48497,-71.569184,m,grass,upland,none,dorm 41,Lee,Natasha/Elizabeth,80,partly sunny,virgin,,12,12_6,5100,288843.2121,4706822.77,-1.66069041,-0.505422904,NA,-106.9273674,NA,NA,NA,virgin,6/29/13,P,P,6,6/29/13,6,0,-1.266106443,-5.894957983
L-GLR,2013-6-29-3-61,P_T,29-Jun,29-Jun_L-GLR,Female,2:32pm,15,1,1,677,1,42.484484,-71.569266,b,cup,wetland,Chelone,dorm 25,Lee,Elizabeth,80,partly sunny,virgin,,13,13_1,1650,288834.8367,4706769.005,NA,NA,24.63537259,NA,NA,NA,NA,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
L-GLR,2013-6-29-3-61,P_T,29-Jun,29-Jun_L-GLR,Female,2:32pm,15,1,111,678,2,42.484671,-71.569105,f,na,wetland,none,dorm 25,Lee,Elizabeth,80,partly sunny,virgin,,13,13_2,15,288848.6992,4706789.369,13.86250925,20.36498024,4.931526629,34.24324791,-6.815044128,-0.118944959,0.992934385,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
L-GLR,2013-6-29-3-61,P_T,29-Jun,29-Jun_L-GLR,Female,2:32pm,15,1,112,679,3,42.484711,-71.569079,c,na,wetland,none,dorm 25,Lee,Elizabeth,80,partly sunny,virgin,,13,13_3,15,288850.9708,4706793.747,2.271642424,4.37716753,1.350867868,27.42820378,-0.471466003,-0.008228634,0.999966145,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
L-GLR,2013-6-29-3-61,P_T,29-Jun,29-Jun_L-GLR,Female,2:32pm,15,1,113,680,4,42.484722,-71.569072,m,Aster,wetland,none,dorm 25,Lee,Elizabeth,80,partly sunny,virgin,,13,13_4,3720,288851.5832,4706794.951,0.612372179,1.204094809,NA,26.95673778,NA,NA,NA,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,1,682,1,42.485506,-71.568475,p,cup,wetland,Chelone,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_1,1380,288903.2905,4706880.526,NA,NA,4.408883932,NA,NA,NA,NA,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
R-LBG,2013-6-29-12-72,P_T,29-Jun,29-Jun_R-LBG,Female,3:23pm,15,1,93,683,2,42.4855,-71.568528,p,Aster,wetland,none,dorm 12,Lee,Elizabeth,81,partly sunny,virgin,,14,14_2,15,288898.9141,4706879.991,-4.37638838,-0.53430541,0.371664503,-96.96069113,-55.04057315,-0.960639224,0.572996222,virgin,6/29/13,P,T,6,6/29/13,6,0,-1.266106443,-5.894957983
