Site,Individual,Origin,Treatment,LocMax,BodyMass
Oel,OE_Lei_lei_0003,non-roadside,quiet,7241,0.101
Oel,OE_Lei_lei_0003,non-roadside,quiet,7337,0.101
Oel,OE_Lei_lei_0003,non-roadside,quiet,7324,0.101
Oel,OE_Lei_lei_0004,non-roadside,quiet,6938,0.081
Oel,OE_Lei_lei_0004,non-roadside,quiet,7011,0.081
Oel,OE_Lei_lei_0005,non-roadside,quiet,7490,0.119
Oel,OE_Lei_lei_0005,non-roadside,quiet,7829,0.119
Oel,OE_Lei_lei_0005,non-roadside,quiet,7587,0.119
Oel,OE_Lei_lei_0006,non-roadside,quiet,6677,0.087
Oel,OE_Lei_lei_0006,non-roadside,quiet,6206,0.087
Pad,PA_La_la_0001,roadside,noisy,7773,0.1
Pad,PA_La_la_0001,roadside,noisy,8249,0.1
Pad,PA_La_la_0001,roadside,noisy,8228,0.1
Pad,PA_La_la_0002,roadside,noisy,6420,0.094
Pad,PA_La_la_0002,roadside,noisy,6325,0.094
Pad,PA_La_la_0002,roadside,noisy,6309,0.094
Pad,PA_La_la_0003,roadside,noisy,8292,0.1
Pad,PA_La_la_0003,roadside,noisy,7307,0.1
Pad,PA_La_la_0003,roadside,noisy,7373,0.1
Pad,PA_La_la_0004,roadside,noisy,8886,0.096
Pad,PA_La_la_0004,roadside,noisy,8106,0.096
Pad,PA_La_la_0005,roadside,noisy,8328,0.09
Pad,PA_La_la_0005,roadside,noisy,8878,0.09
Pad,PA_La_la_0005,roadside,noisy,8914,0.09
Pad,PA_La_la_0006,roadside,noisy,8077,0.121
Pad,PA_La_la_0006,roadside,noisy,7645,0.121
Pad,PA_La_la_0006,roadside,noisy,8114,0.121
Pad,PA_La_la_0007,roadside,noisy,11182,0.101
Pad,PA_La_la_0007,roadside,noisy,11269,0.101
Pad,PA_La_la_0007,roadside,noisy,11165,0.101
Pad,PA_La_lei_0001,roadside,quiet,6750,0.094
Pad,PA_La_lei_0001,roadside,quiet,6717,0.094
Pad,PA_La_lei_0001,roadside,quiet,6803,0.094
Pad,PA_La_lei_0002,roadside,quiet,6435,0.089
Pad,PA_La_lei_0002,roadside,quiet,6458,0.089
Pad,PA_La_lei_0002,roadside,quiet,6576,0.089
